Name,Latitude,Longitude,Object-ID,Easting,Northing
둔내,37.49210997,128.2035445,99,429601.6647,4149349.536
마곡사,36.494544,127.024698,100,323099.6975,4040214.424
마산,35.258998,128.606032,101,464167.5942,3901448.772
마성,37.26625578,127.1906156,102,339583.1986,4125532.094
망상,37.5808285,129.0936348,103,508266.4655,4158897.508
매송,37.27592659,126.8967019,104,313546.2642,4127144.064
면온,37.56061743,128.3638528,105,443822.8109,4156841.45
면천,36.82110279,126.6499571,106,290421.9395,4077197.404
목천,36.75844574,127.2185928,107,341009.088,4069150.327
목포,34.83822721,126.4226767,108,264353.3277,3857749.243
무안,35.00536046,126.4924796,109,271201.6557,3876125.727
무안공항,35.00304331,126.3919589,110,262020.803,3876103.795
무주,35.97574421,127.6474366,111,378070.3848,3981707.313
무창포,36.23631981,126.5621184,112,280943.0265,4012516.637
문경새재,36.69793481,128.1111272,113,420608.4149,4061327.309
문막,37.30936165,127.8237151,114,395774.8512,4129428.165
문산,35.17156549,128.1568955,115,423234.4703,3892007.758
문수,35.51197428,129.2368672,116,521476.4899,3929456.367
문의,36.52857367,127.5105975,117,366676.7117,4043206.297
문평,35.06598319,126.5967768,118,280882.2134,3882615.773
물금,35.30564993,129.0114786,119,501043.4047,3906550.931
밀양,35.50093744,128.7903257,120,480986.4645,3928226.867
발안,37.1207709,126.8833766,121,311980.219,4109956.575
백양사,35.4282334,126.805007,122,300760.0289,3922357.249
보은,36.45517081,127.721639,123,385460.9533,4034792.784
봉담,37.23003134,126.9560645,124,318699.2588,4121936.794
부곡,37.32201287,126.9643782,125,319656.4692,4132125.829
부산,35.280274,129.105792,126,509619.5162,3903742.067
부안,35.72439721,126.7673287,127,298084.5377,3955285.119
부여,36.29250597,126.8561503,128,307505.4169,4018124.567
북강릉,37.83213987,128.8141533,129,483647.982,4186788.794
북광주,35.25936504,126.8945837,130,308493.8292,3903450.099
북남원,35.4348693,127.3116099,131,346762.1231,3922189.413
북단양,37.01335106,128.2895943,132,436809.0596,4096180.679
북대구,35.90829699,128.57695,133,461831.8663,3973464.415
북대전,36.41163,127.382054,134,354951.5334,4030420.145
북무안,35.01305948,126.4331468,135,265808.5767,3877117.372
북부산,35.221669,128.941748,136,494699.4158,3897239.839
북상주,36.52849753,128.1717481,137,425860.9788,4042485.246
북수원,37.31697946,126.9945912,138,322321.5914,4131510.135
북여주,37.37034752,127.5267983,139,369570.5709,4136562.564
북영천,36.03083406,128.9176586,140,492582.5385,3986974.545
북오산,37.18306791,127.0540971,141,327288.8097,4116543.277
북원주,37.41919868,127.919313,142,404385.1123,4141511.631
북진천,36.94381703,127.4507774,143,362066.7037,4089353.009
북창원,35.28568781,128.6086728,144,464419.4528,3904407.463
북충주,37.03467796,127.8009225,145,393369.8704,4098982.541
북통영,34.88623793,128.4148645,146,446537.6776,3860200
북평택,37.066487,126.992759,147,321570.4859,4103723.076
비봉,37.23914853,126.8814272,148,312100.6442,4123093.893
사천,35.11356199,128.090388,149,417119.9357,3885629.003
산인,35.271428,128.473413,150,452112.7685,3902883.084
산청,35.42446343,127.860278,151,396548.4845,3920322.676
삼랑진,35.40148403,128.8169995,152,483384.8554,3917193.374
삼례,35.92333096,127.0776786,153,326588.6824,3976756.176
상관,35.759137,127.218869,154,338995.1066,3958302.676
상동,35.31737006,128.946864,155,495170.6203,3907851.813
상주,36.42001281,128.2141463,156,429558.1116,4030420.874
새말,37.4461519,128.070777,157,417815.8554,4144358.797
생초,35.48065131,127.8271252,158,393613.1002,3926589.142
서공주,36.45417004,127.0570353,159,325905.709,4035676.797
서광산,35.11639809,126.7344148,160,293561.0706,3887913.61
서김제,35.83294178,126.8392693,161,304857.2092,3967179.567
서김해,35.21935599,128.8452943,162,485922.3001,3896992.76
서남원,35.35898994,127.3394928,163,349151.6852,3913730.952
서논산,36.2219829,127.0521902,164,324952.4885,4009929.425
서대구,35.87368099,128.531464,165,457709.6268,3969644.159
서대전,36.2911664,127.3276804,166,349845.3043,4017141.01
서부산,35.15556021,128.954065,167,495816.8009,3889908.585
서부여,36.23386078,126.7995684,168,302276.3709,4011732.987
서산,36.80466525,126.5705172,169,283289.9003,4075550.945
서상,35.66335693,127.6762066,170,380195.4995,3947025.188
서서울,37.355865,126.863637,171,310815.3208,4136078.785
서세종,36.48805889,127.1844119,172,337390.962,4039213.486
서순천,35.00244309,127.4830936,173,361594.8328,3873980.169
서안동,36.58711246,128.6303443,174,466936.3895,4048731.016
서안산,37.34946524,126.8006324,175,305218.7087,4135496.901
서안성,37.03146637,127.1633574,176,336661.9165,4099531.194
서여주,37.30033434,127.5863055,177,374723.0615,4128714.951
서오산,37.188681,127.009946,178,323382.7791,4117247.397
서울,37.365199,127.103405,179,332070.8727,4136660.691
서울산,35.55115277,129.122783,180,511127.1766,3933782.18
서이천,37.27525396,127.3933726,181,357577.5748,4126205.734
서전주,35.82359648,127.0453427,182,323450.0907,3965751.471
서종,37.63397042,127.3665313,183,355888.175,4166043.132
서진주,35.1805379,128.0422823,184,412808.0906,3893097.213
서천,36.0942859,126.6859405,185,291695.2702,3996487.373
서청주,36.65031462,127.4206026,186,358842.2162,4056838.994
서평택,36.99569959,126.8693212,187,310420.4181,4096108.648
서포항,36.06909165,129.2201452,188,519821.4864,3991236.741
석곡,35.12503368,127.2461479,189,340212.4811,3887929.982
선산,36.23627831,128.262408,190,433728.8178,4010008.426
선운산,35.50648427,126.6831848,191,289904.0237,3931289.619
설악,37.668739,127.494879,192,367274.1817,4169711.041
성산,35.75478371,128.3648263,193,442583.0818,3956543.16
성주,35.91706961,128.2491836,194,432267.4023,3974615.008
소양,35.86125378,127.23843,195,340967.3125,3969597.101
